date,region,category,product,units,revenue,cost
2024-03-08,東京,電子機器,タブレット,35,2100000,1400000
2024-03-08,名古屋,電子機器,ノートPC,18,2880000,1980000
2024-03-08,名古屋,家電,冷蔵庫,11,770000,495000
2024-03-15,東京,電子機器,スマートフォン,58,3596000,2320000
2024-03-15,大阪,電子機器,タブレット,25,1500000,1000000
2024-03-15,大阪,家電,エアコン,13,1040000,650000
2024-03-22,東京,電子機器,スマートフォン,62,3844000,2480000
2024-03-22,東京,家電,洗濯機,18,1080000,720000
2024-03-22,福岡,電子機器,ノートPC,10,1600000,1100000
2024-03-29,東京,電子機器,ノートPC,30,4800000,3300000
2024-03-29,名古屋,電子機器,スマートフォン,42,2604000,1680000
2024-04-05,東京,電子機器,スマートフォン,55,3410000,2200000
2024-04-05,大阪,電子機器,スマートフォン,48,2976000,1920000
2024-04-05,大阪,電子機器,ノートPC,14,2240000,1540000
2024-04-12,東京,電子機器,タブレット,30,1800000,1200000
2024-04-12,名古屋,家電,エアコン,20,1600000,1000000
2024-04-19,東京,電子機器,スマートフォン,60,3720000,2400000
2024-04-19,東京,電子機器,ノートPC,22,3520000,2420000
2024-04-19,福岡,電子機器,スマートフォン,32,1984000,1280000
2024-04-26,大阪,電子機器,スマートフォン,52,3224000,2080000
2024-04-26,名古屋,電子機器,タブレット,18,1080000,720000
2024-05-03,東京,電子機器,スマートフォン,68,4216000,2720000
2024-05-03,東京,家電,冷蔵庫,12,840000,540000
2024-05-10,東京,電子機器,ノートPC,28,4480000,3080000
2024-05-10,大阪,電子機器,スマートフォン,55,3410000,2200000
2024-05-17,東京,電子機器,スマートフォン,72,4464000,2880000
2024-05-17,名古屋,電子機器,スマートフォン,45,2790000,1800000
2024-05-24,東京,電子機器,タブレット,38,2280000,1520000
2024-05-24,福岡,電子機器,ノートPC,12,1920000,1320000
2024-05-31,東京,電子機器,スマートフォン,75,4650000,3000000
2024-06-07,東京,電子機器,スマートフォン,70,4340000,2800000
2024-06-07,大阪,電子機器,スマートフォン,58,3596000,2320000
2024-06-14,東京,電子機器,ノートPC,32,5120000,3520000
2024-06-14,名古屋,電子機器,スマートフォン,48,2976000,1920000
2024-06-21,東京,電子機器,タブレット,42,2520000,1680000
2024-06-21,大阪,家電,エアコン,25,2000000,1250000
2024-06-28,東京,電子機器,スマートフォン,80,4960000,3200000
2024-07-05,東京,電子機器,スマートフォン,85,5270000,3400000
2024-07-05,東京,家電,エアコン,30,2400000,1500000
2024-07-12,大阪,電子機器,スマートフォン,65,4030000,2600000
2024-07-12,名古屋,電子機器,ノートPC,20,3200000,2200000
2024-07-19,東京,電子機器,スマートフォン,78,4836000,3120000
2024-07-19,福岡,電子機器,スマートフォン,38,2356000,1520000
2024-07-26,東京,電子機器,タブレット,45,2700000,1800000
2024-08-02,東京,電子機器,スマートフォン,82,5084000,3280000
2024-08-02,大阪,電子機器,スマートフォン,68,4216000,2720000
2024-08-09,東京,電子機器,ノートPC,35,5600000,3850000
2024-08-16,名古屋,電子機器,スマートフォン,52,3224000,2080000
2024-08-23,東京,電子機器,スマートフォン,75,4650000,3000000
2024-09-06,東京,電子機器,スマートフォン,70,4340000,2800000
2024-09-06,大阪,電子機器,ノートPC,16,2560000,1760000
2024-09-13,東京,電子機器,タブレット,40,2400000,1600000
2024-09-20,名古屋,電子機器,スマートフォン,55,3410000,2200000
2024-09-27,東京,電子機器,スマートフォン,72,4464000,2880000
2024-10-04,東京,電子機器,スマートフォン,68,4216000,2720000
2024-10-04,東京,電子機器,ノートPC,30,4800000,3300000
2024-10-11,大阪,電子機器,スマートフォン,60,3720000,2400000
2024-10-18,名古屋,電子機器,タブレット,28,1680000,1120000
2024-10-25,東京,電子機器,スマートフォン,75,4650000,3000000
2024-11-01,東京,電子機器,スマートフォン,80,4960000,3200000
2024-11-08,大阪,電子機器,ノートPC,20,3200000,2200000
2024-11-15,東京,電子機器,タブレット,48,2880000,1920000
2024-11-22,名古屋,電子機器,スマートフォン,58,3596000,2320000
2024-11-29,東京,電子機器,スマートフォン,90,5580000,3600000
2024-12-06,東京,電子機器,スマートフォン,95,5890000,3800000
2024-12-06,東京,電子機器,ノートPC,40,6400000,4400000
2024-12-13,大阪,電子機器,スマートフォン,78,4836000,3120000
2024-12-20,東京,電子機器,タブレット,55,3300000,2200000
2024-12-27,東京,電子機器,スマートフォン,100,6200000,4000000
